song_id,artist_individ,artist_name,track_name,artist_count,collab_artist,relationship,artist_x,artist_y,circle_y,streams
48,Maroon 5,Maroon 5,Memories,1,Maroon 5,Maroon 5-Maroon 5,-769,645,645,1759567999
72,Maroon 5,"Maroon 5, Wiz Khalifa",Payphone,2,Maroon 5,Maroon 5-Maroon 5,-769,645,645,1479264469
72,Maroon 5,"Maroon 5, Wiz Khalifa",Payphone,2,Wiz Khalifa,Maroon 5-Wiz Khalifa,-769,645,645,1479264469
129,Masked Wolf,Masked Wolf,Astronaut In The Ocean,1,Masked Wolf,Masked Wolf-Masked Wolf,697,-713,-713,1138474110
93,Miley Cyrus,Miley Cyrus,Flowers,1,Miley Cyrus,Miley Cyrus-Miley Cyrus,-230,777,777,1316855716
87,Måneskin,Måneskin,Beggin,1,Måneskin,Måneskin-Måneskin,-887,102,102,1367810478
53,Nate Dogg,"Eminem, Nate Dogg","'Till I Collapse",2,Eminem,Eminem-Nate Dogg,182,936,936,1695712020
53,Nate Dogg,"Eminem, Nate Dogg","'Till I Collapse",2,Nate Dogg,Nate Dogg-Nate Dogg,182,936,936,1695712020
55,Nirvana,Nirvana,Smells Like Teen Spirit - Remastered 2021,1,Nirvana,Nirvana-Nirvana,-55,318,318,1690192927
37,Olivia Rodrigo,Olivia Rodrigo,good 4 u,1,Olivia Rodrigo,Olivia Rodrigo-Olivia Rodrigo,-734,-629,-629,1887039593
38,Olivia Rodrigo,Olivia Rodrigo,drivers license,1,Olivia Rodrigo,Olivia Rodrigo-Olivia Rodrigo,-734,-629,-629,1858144199
105,Olivia Rodrigo,Olivia Rodrigo,deja vu,1,Olivia Rodrigo,Olivia Rodrigo-Olivia Rodrigo,-734,-629,-629,1256880657
131,One Direction,One Direction,Night Changes,1,One Direction,One Direction-One Direction,-632,-402,-402,1131090940
30,OneRepublic,OneRepublic,Counting Stars,1,OneRepublic,OneRepublic-OneRepublic,-756,-347,-347,2011464183
140,OneRepublic,OneRepublic,"I Ain't Worried",1,OneRepublic,OneRepublic-OneRepublic,-756,-347,-347,1085685420
64,Pnau,"Dua Lipa, Elton John, Pnau",Cold Heart - PNAU Remix,3,Dua Lipa,Dua Lipa-Pnau,-568,187,187,1605224506
64,Pnau,"Dua Lipa, Elton John, Pnau",Cold Heart - PNAU Remix,3,Elton John,Elton John-Pnau,-568,187,187,1605224506
64,Pnau,"Dua Lipa, Elton John, Pnau",Cold Heart - PNAU Remix,3,Pnau,Pnau-Pnau,-568,187,187,1605224506
5,Post Malone,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,2,Post Malone,Post Malone-Post Malone,-713,622,622,2808096550
5,Post Malone,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,2,Swae Lee,Post Malone-Swae Lee,-713,622,622,2808096550
